id_policy;id_client;id_vehicle;id_claim;id_year;claim_amount;claim_nb
A00000022-V01;A00000022;V01;CL01;Year 0;1181;1
A00000022-V01;A00000022;V01;CL02;Year 0;215;1
A00000022-V01;A00000022;V01;CL03;Year 0;314;1
A00000028-V01;A00000028;V01;CL01;Year 0;6203;1
A00000034-V01;A00000034;V01;CL01;Year 0;49;1
A00000044-V02;A00000044;V02;CL01;Year 0;919;1
A00000055-V03;A00000055;V03;CL01;Year 0;44;1
A00000057-V01;A00000057;V01;CL01;Year 0;1143;1
A00000065-V01;A00000065;V01;CL01;Year 0;399;1
A00000068-V01;A00000068;V01;CL01;Year 0;944;1
A00000072-V01;A00000072;V01;CL01;Year 0;158;1
A00000074-V02;A00000074;V02;CL01;Year 0;641;1
A00000077-V01;A00000077;V01;CL01;Year 0;167;1
A00000089-V01;A00000089;V01;CL01;Year 0;-974;1
A00000121-V01;A00000121;V01;CL01;Year 0;-151;1
A00000122-V02;A00000122;V02;CL01;Year 0;2247;1
A00000123-V01;A00000123;V01;CL01;Year 0;1544;1
A00000144-V01;A00000144;V01;CL01;Year 0;1599;1
A00000147-V01;A00000147;V01;CL01;Year 0;509;1
A00000161-V01;A00000161;V01;CL01;Year 0;1834;1
A00000178-V02;A00000178;V02;CL01;Year 0;4205;1
A00000188-V01;A00000188;V01;CL01;Year 0;900;1
A00000191-V01;A00000191;V01;CL01;Year 0;495;1
A00000197-V02;A00000197;V02;CL01;Year 0;525;1
A00000197-V02;A00000197;V02;CL02;Year 0;132;1
A00000199-V01;A00000199;V01;CL01;Year 0;1995;1
A00000224-V01;A00000224;V01;CL01;Year 0;536;1
A00000227-V01;A00000227;V01;CL01;Year 0;493;1
A00000231-V01;A00000231;V01;CL01;Year 0;2051;1
A00000232-V01;A00000232;V01;CL01;Year 0;-1372;1
A00000232-V03;A00000232;V03;CL01;Year 0;336;1
A00000232-V07;A00000232;V07;CL01;Year 0;119;1
A00000243-V01;A00000243;V01;CL01;Year 0;1127;1
A00000243-V01;A00000243;V01;CL02;Year 0;2093;1
A00000256-V01;A00000256;V01;CL01;Year 0;295;1
A00000266-V01;A00000266;V01;CL01;Year 0;1410;1
A00000266-V01;A00000266;V01;CL02;Year 0;1956;1
A00000268-V01;A00000268;V01;CL01;Year 0;5487;1
