"","id_policy","tarif"
"1","A00000001-V01",238.029642503989
"2","A00000002-V01",196.363603815208
"3","A00000003-V01",235.760107312042
"4","A00000004-V01",249.892316768868
"5","A00000005-V01",239.084831173266
"6","A00000006-V01",186.873500023397
"7","A00000007-V01",218.306680503929
"8","A00000008-V01",239.250169598651
"9","A00000009-V01",242.771621457491
"10","A00000010-V01",243.194336723334
"11","A00000011-V01",233.640116031644
"12","A00000012-V01",238.734488222385
"13","A00000013-V01",251.408345756881
"14","A00000014-V01",206.948436859817
"15","A00000015-V01",229.894520117329
"16","A00000016-V01",191.094784479643
"17","A00000017-V01",227.53891036724
"18","A00000018-V01",261.532744891029
"19","A00000019-V01",220.235937169379
"20","A00000020-V01",222.75733917035
"21","A00000021-V01",247.864377456709
"22","A00000022-V01",250.063439590966
"23","A00000023-V01",197.808657139073
"24","A00000024-V01",231.773020871727
"25","A00000025-V01",196.940354019778
"26","A00000026-V01",240.912600942125
"27","A00000027-V01",245.114521391954
"28","A00000028-V01",226.34860011354
"29","A00000029-V01",229.437105963276
"30","A00000030-V01",223.735727491907
"31","A00000031-V01",228.437006928632
"32","A00000032-V01",227.872823803425
"33","A00000033-V01",206.948436859817
"34","A00000034-V01",233.147141132814
"35","A00000035-V01",227.53891036724
"36","A00000036-V01",231.211827216422
"37","A00000037-V01",220.895295770347
"38","A00000038-V01",234.90880909225
"39","A00000039-V01",223.40787634969
"40","A00000040-V01",227.799809531211
"41","A00000041-V01",232.245665480386
"42","A00000042-V01",216.598089734114
"43","A00000042-V02",227.197848142467
"44","A00000042-V03",233.336551472657
"45","A00000043-V01",229.221261900815
"46","A00000043-V02",242.415876068567
"47","A00000044-V01",238.899584369113
"48","A00000045-V01",229.660231655865
"49","A00000046-V01",235.230731802978
"50","A00000047-V01",246.365478323132
"51","A00000048-V01",243.918726199911
"52","A00000049-V01",205.452780754756
"53","A00000050-V01",232.794899998496
"54","A00000051-V01",225.127912921485
"55","A00000052-V01",237.773945690924
"56","A00000052-V02",228.8853725309
"57","A00000053-V01",224.534172771514
"58","A00000054-V01",227.39958825338
"59","A00000055-V01",239.250169598651
"60","A00000056-V01",241.697642401269
"61","A00000057-V01",229.221261900815
"62","A00000058-V01",200.04765386205
"63","A00000059-V01",230.118090641409
"64","A00000060-V01",234.37320320067
"65","A00000061-V01",225.804293692266
"66","A00000062-V01",243.127888902906
"67","A00000063-V01",228.440826517064
"68","A00000064-V01",251.408345756881
"69","A00000065-V01",232.453773998092
"70","A00000066-V01",223.735727491907
"71","A00000067-V01",231.42785116037
"72","A00000068-V01",191.094784479643
"73","A00000069-V01",255.648573319163
"74","A00000069-V02",248.922877158454
"75","A00000070-V01",230.793982982321
"76","A00000071-V01",258.885239081438
"77","A00000072-V01",224.064059755798
"78","A00000073-V01",247.50116939792
"79","A00000074-V01",232.113147866663
"80","A00000075-V01",227.314834000767
"81","A00000076-V01",236.637519244174
"82","A00000077-V01",232.107590470031
"83","A00000078-V01",244.396690599685
"84","A00000079-V01",206.467028458963
"85","A00000080-V01",230.118090641409
"86","A00000081-V01",226.518464083354
"87","A00000082-V01",238.505933379944
"88","A00000083-V01",197.1233067316
"89","A00000084-V01",270.572048033786
"90","A00000084-V02",249.331115630966
"91","A00000085-V01",196.546020740373
"92","A00000086-V01",253.393385612619
"93","A00000087-V01",227.41943215721
"94","A00000088-V01",229.221261900815
"95","A00000089-V01",223.40787634969
"96","A00000090-V01",264.851234404762
"97","A00000090-V02",258.801211200505
"98","A00000091-V01",242.167053783993
"99","A00000092-V01",191.094784479643
"100","A00000093-V01",196.834452099423
"101","A00000094-V01",231.211827216422
"102","A00000095-V01",206.534064416034
"103","A00000096-V01",191.375216147438
"104","A00000097-V01",226.421149244893
"105","A00000098-V01",209.5980212288
"106","A00000099-V01",235.944513799393
"107","A00000100-V01",242.167053783993
"108","A00000101-V01",207.451649113487
"109","A00000102-V01",234.37320320067
"110","A00000103-V01",232.955888640119
"111","A00000104-V01",104.13494713882
"112","A00000105-V01",182.929185363501
"113","A00000106-V01",211.984733503588
"114","A00000107-V01",228.8853725309
"115","A00000108-V01",232.538866794856
"116","A00000109-V01",200.511557333221
"117","A00000110-V01",233.387975028588
"118","A00000110-V02",229.780887103523
"119","A00000111-V01",251.039944544239
"120","A00000111-V02",245.513201401269
"121","A00000112-V01",228.393574577377
"122","A00000113-V01",219.748503130086
"123","A00000114-V01",233.297751493949
"124","A00000115-V01",236.070199283348
"125","A00000116-V01",239.250169598651
"126","A00000117-V01",191.375216147438
"127","A00000118-V01",233.874627398947
"128","A00000119-V01",191.656059348811
"129","A00000120-V01",227.530042919241
"130","A00000121-V01",233.611951747834
"131","A00000122-V01",207.251028781599
"132","A00000123-V01",232.927806836899
"133","A00000124-V01",217.427164708965
"134","A00000125-V01",239.601269312144
"135","A00000126-V01",231.905344300768
"136","A00000127-V01",230.793982982321
"137","A00000128-V01",239.084831173266
"138","A00000129-V01",197.808657139073
"139","A00000130-V01",224.365796802251
"140","A00000131-V01",228.437006928632
"141","A00000132-V01",236.799565363203
"142","A00000133-V01",191.937314687687
"143","A00000134-V01",197.518798228695
"144","A00000135-V01",226.467515745892
"145","A00000136-V01",245.834460564026
"146","A00000137-V01",218.627045639332
"147","A00000138-V01",243.194336723334
"148","A00000139-V01",236.76357388579
"149","A00000140-V01",206.040013660056
"150","A00000141-V01",230.050901459827
"151","A00000142-V01",228.207227257703
"152","A00000143-V01",234.395366633351
"153","A00000144-V01",257.948696339834
"154","A00000145-V01",228.021521995214
"155","A00000146-V01",202.391306528392
"156","A00000147-V01",202.855597473823
"157","A00000148-V01",223.268350326803
"158","A00000149-V01",242.167053783993
"159","A00000150-V01",222.288289050252
"160","A00000151-V01",224.064059755798
"161","A00000152-V01",227.872823803425
"162","A00000153-V01",228.207227257703
"163","A00000154-V01",227.53891036724
"164","A00000155-V01",233.297751493949
"165","A00000156-V01",257.864972438001
"166","A00000157-V01",229.221261900815
"167","A00000158-V01",224.392873847409
"168","A00000159-V01",224.534172771514
"169","A00000160-V01",197.1233067316
"170","A00000161-V01",206.231419730339
"171","A00000162-V01",239.250169598651
"172","A00000163-V01",240.636683695727
"173","A00000163-V02",227.872823803425
"174","A00000163-V03",244.276677021965
"175","A00000164-V01",240.899217994788
"176","A00000164-V02",255.648573319163
"177","A00000165-V01",224.392873847409
"178","A00000166-V01",241.343470767526
"179","A00000167-V01",253.022075621878
"180","A00000168-V01",244.077310330448
"181","A00000169-V01",197.171777632034
"182","A00000170-V01",234.564585475213
"183","A00000171-V01",228.772238321857
"184","A00000172-V01",238.899584369113
"185","A00000172-V02",245.643984037571
"186","A00000173-V01",239.084831173266
"187","A00000174-V01",230.569755797114
"188","A00000175-V01",235.105493257589
"189","A00000176-V01",228.877507097998
"190","A00000177-V01",233.297751493949
"191","A00000178-V01",233.990613036332
"192","A00000179-V01",197.1233067316
"193","A00000180-V01",203.153288139092
"194","A00000181-V01",191.937314687687
"195","A00000182-V01",227.53891036724
"196","A00000183-V01",201.971726212097
"197","A00000184-V01",222.42720260813
"198","A00000185-V01",230.873020971676
"199","A00000186-V01",261.46685729636
"200","A00000187-V01",247.421865874779
"201","A00000188-V01",248.22811852346
"202","A00000189-V01",227.53891036724
"203","A00000190-V01",223.40787634969
"204","A00000191-V01",191.656059348811
"205","A00000192-V01",234.073471524509
"206","A00000193-V01",225.789148340418
"207","A00000194-V01",235.061593463759
"208","A00000195-V01",202.558343029562
"209","A00000196-V01",229.400553843863
"210","A00000197-V01",278.074856369945
"211","A00000197-V02",244.435493874773
"212","A00000198-V01",230.569755797114
"213","A00000199-V01",251.039944544239
"214","A00000200-V01",230.569755797114
"215","A00000201-V01",223.876612614666
"216","A00000202-V01",228.877507097998
"217","A00000203-V01",235.105493257589
"218","A00000204-V01",224.695257626057
"219","A00000205-V01",222.42720260813
"220","A00000206-V01",228.772238321857
"221","A00000207-V01",248.558118027156
"222","A00000208-V01",207.859757033294
"223","A00000209-V01",237.850156867886
"224","A00000210-V01",245.834460564026
"225","A00000211-V01",238.899584369113
"226","A00000212-V01",244.536221111152
"227","A00000213-V01",229.894520117329
"228","A00000214-V01",212.228571856472
"229","A00000215-V01",211.235277068217
"230","A00000216-V01",205.738092931623
"231","A00000217-V01",230.231890411705
"232","A00000218-V01",264.444204859571
"233","A00000218-V02",238.664783251193
"234","A00000219-V01",245.114521391954
"235","A00000220-V01",231.773020871727
"236","A00000221-V01",230.793982982321
"237","A00000222-V01",260.375769916594
"238","A00000223-V01",250.966646663263
"239","A00000224-V01",228.468892722777
"240","A00000224-V02",257.256589935312
"241","A00000225-V01",227.466003086488
"242","A00000225-V02",230.569755797114
"243","A00000226-V01",225.473411376624
"244","A00000227-V01",223.059942784864
"245","A00000228-V01",232.113147866663
"246","A00000228-V02",232.045376174329
"247","A00000229-V01",231.433392281873
"248","A00000230-V01",218.306680503929
"249","A00000231-V01",202.558343029562
"250","A00000232-V01",220.872191033438
"251","A00000232-V02",204.961316540672
"252","A00000232-V03",204.961316540672
"253","A00000232-V04",196.306270166228
"254","A00000233-V01",238.035341693451
"255","A00000234-V01",246.335780053116
"256","A00000235-V01",239.084831173266
"257","A00000236-V01",215.577087254129
"258","A00000237-V01",205.027863621431
"259","A00000238-V01",200.341223869017
"260","A00000239-V01",238.035341693451
"261","A00000240-V01",217.715849845699
"262","A00000241-V01",222.42720260813
"263","A00000242-V01",249.399258817967
"264","A00000242-V02",237.686536611951
"265","A00000243-V01",182.929185363501
"266","A00000243-V02",182.929185363501
"267","A00000244-V01",234.886036456505
"268","A00000245-V01",244.994155315838
"269","A00000246-V01",251.368435566076
"270","A00000247-V01",195.580508949968
"271","A00000248-V01",252.14677086229
"272","A00000249-V01",212.053560955607
"273","A00000249-V02",191.375216147438
"274","A00000250-V01",265.506971208508
"275","A00000250-V02",246.380760361923
"276","A00000251-V01",234.641938656392
"277","A00000252-V01",230.411972846647
"278","A00000253-V01",229.111792474431
"279","A00000254-V01",196.363603815208
"280","A00000255-V01",227.132685785029
"281","A00000256-V01",250.826687493242
"282","A00000257-V01",223.735727491907
"283","A00000257-V02",230.211204148105
"284","A00000258-V01",227.799809531211
"285","A00000259-V01",218.03534793689
"286","A00000260-V01",236.26785585607
"287","A00000261-V01",196.834452099423
"288","A00000262-V01",229.894520117329
"289","A00000263-V01",196.940354019778
"290","A00000264-V01",197.171777632034
"291","A00000265-V01",197.518798228695
"292","A00000266-V01",232.955888640119
"293","A00000267-V01",255.599967277682
"294","A00000268-V01",234.298106097941
"295","A00000269-V01",243.194336723334
"296","A00000270-V01",248.3501796872
"297","A00000271-V01",228.877507097998
"298","A00000272-V01",191.656059348811
"299","A00000273-V01",216.155535637381
"300","A00000274-V01",221.219459699623
"301","A00000275-V01",191.094784479643
"302","A00000276-V01",205.151720528044
"303","A00000277-V01",229.859578146826
"304","A00000278-V01",230.118090641409
"305","A00000279-V01",232.794899998496
"306","A00000280-V01",231.433392281873
"307","A00000280-V02",244.755342834675
"308","A00000281-V01",264.056701551147
"309","A00000282-V01",229.400553843863
"310","A00000283-V01",207.555169743958
"311","A00000284-V01",232.453773998092
"312","A00000285-V01",242.837971908607
"313","A00000286-V01",221.995884554877
"314","A00000287-V01",271.95292900709
"315","A00000288-V01",244.435493874773
"316","A00000289-V01",223.459812979723
"317","A00000289-V02",223.387283334444
"318","A00000290-V01",234.037396006132
"319","A00000291-V01",234.073471524509
"320","A00000292-V01",214.891343725261
"321","A00000293-V01",233.68682892474
"322","A00000294-V01",263.669766070684
"323","A00000295-V01",191.937314687687
"324","A00000296-V01",217.49685434665
"325","A00000297-V01",196.834452099423
"326","A00000298-V01",224.064059755798
"327","A00000299-V01",234.37320320067
